dataset,family,severity,n_series,clamped_frac,clamped_lo_frac,clamped_hi_frac,series_any_clamped,scale_mean,nominal_p99,nominal_max,realized_p99,realized_max
monash_cif_2016,gap_boundary,0.7,72,0.0,0.0,0.0,0.0,32578299.115551796,1.2477749751673803,1.2604864239692688,1.2477749751673803,1.2604864239692688
monash_car_parts,clean,0.0,100,0.0071794871794871795,0.0,0.0071794871794871795,0.24,0.5595055014640092,10.037880520820618,11.968248703479766,8.473268389701843,9.554999420642853
monash_car_parts,spikes_intensity,1.0,100,0.006153846153846153,0.0,0.006153846153846153,0.2,0.5961747532337904,8.839015426635742,10.354308440685273,7.999493255615234,9.024168555736543
monash_car_parts,spikes_intensity,2.0,100,0.0035897435897435897,0.0,0.0035897435897435897,0.14,0.6359919018298388,8.137095901966095,9.330826723575592,7.654050133228302,8.551719238758087
monash_car_parts,spikes_intensity,4.0,100,0.0025641025641025637,0.0002564102564102564,0.002307692307692308,0.1,0.7430562890693545,7.719464495182037,8.429983987808228,7.504169142246246,8.082732849121093
monash_car_parts,spikes_intensity,6.0,100,0.0,0.0,0.0,0.0,0.8479105856269598,8.453507294654846,8.784418561458587,8.453507294654846,8.784418561458587
monash_car_parts,spikes_intensity,8.0,100,0.0012820512820512818,0.0005128205128205128,0.0007692307692307692,0.05,0.9462556433677674,9.699267201423645,10.153021922111511,9.541294388771057,9.898226590156556
monash_car_parts,spikes_intensity,12.0,100,0.0035897435897435893,0.0010256410256410256,0.0025641025641025637,0.1,1.1522131088376044,11.43551555633545,11.809701719284057,11.271658897399902,11.55600682258606
monash_car_parts,spikes_intensity,16.0,100,0.008717948717948718,0.003846153846153846,0.004871794871794872,0.2,1.3602218888700008,12.623671646118163,12.895681843757629,12.450865154266358,12.677286648750306
monash_car_parts,spikes_intensity,20.0,100,0.015128205128205128,0.006666666666666666,0.00846153846153846,0.34,1.5748607018589973,13.493157086372376,13.752389993667602,13.164033312797546,13.358996210098267
monash_car_parts,spikes_intensity,30.0,100,0.027948717948717946,0.01358974358974359,0.014358974358974359,0.58,2.0876481813192367,14.923226404190064,15.164113893508912,14.095027408599854,14.230392980575562
monash_car_parts,spikes_intensity,40.0,100,0.035384615384615375,0.016666666666666666,0.018717948717948713,0.71,2.615911883711815,15.776660623550415,15.993937873840332,14.497301359176635,14.604435176849366
monash_car_parts,spikes_density,0.01,100,0.021538461538461534,0.011025641025641025,0.01051282051282051,0.84,1.107062601596117,14.620615782737731,20.607082624435424,10.846991963386536,14.520582275390625
monash_car_parts,spikes_density,0.02,100,0.02102564102564102,0.012051282051282048,0.008974358974358974,0.82,1.108198133856058,14.644439821243287,20.610625562667845,10.90437315940857,14.578249788284301
monash_car_parts,spikes_density,0.05,100,0.01358974358974359,0.006153846153846154,0.007435897435897435,0.28,1.5588533756136895,13.479560627937317,13.724164304733277,13.137579979896545,13.299265356063843
monash_car_parts,spikes_density,0.08,100,0.0,0.0,0.0,0.0,2.0647466561198233,10.328812103271485,10.542049446105956,10.328812103271485,10.542049446105956
monash_car_parts,spikes_density,0.12,100,0.0,0.0,0.0,0.0,3.0491265308856965,6.919342622756958,7.017872381210327,6.919342622756958,7.017872381210327
monash_car_parts,spikes_density,0.16,100,0.0,0.0,0.0,0.0,3.523211444020271,5.910277609825134,5.983632202148438,5.910277609825134,5.983632202148438
monash_car_parts,spikes_density,0.2,100,0.0,0.0,0.0,0.0,4.558067399263382,4.652931966781616,4.723831896781921,4.652931966781616,4.723831896781921
monash_car_parts,spikes_density,0.3,100,0.0,0.0,0.0,0.0,6.508675541877746,3.2981987476348875,3.3644374632835388,3.2981987476348875,3.3644374632835388
monash_car_parts,spikes_density,0.4,100,0.0,0.0,0.0,0.0,8.56524208188057,2.5447741389274596,2.59623174905777,2.5447741389274596,2.59623174905777
monash_car_parts,drift,0.5,100,0.0012820512820512818,0.0,0.0012820512820512818,0.05,0.7312812963873148,6.237193465232849,7.263132395744324,6.210358185768127,7.2198496389389035
monash_car_parts,drift,1.0,100,0.0,0.0,0.0,0.0,0.8624987033009529,4.714595170021057,5.4328173780441285,4.714595170021057,5.4328173780441285
monash_car_parts,drift,2.0,100,0.0,0.0,0.0,0.0,1.2359520350396633,3.136908457279205,3.5404948782920838,3.136908457279205,3.5404948782920838
monash_car_parts,drift,4.0,100,0.0,0.0,0.0,0.0,2.1903081238269806,2.429299192428589,2.5897749948501585,2.429299192428589,2.5897749948501585
monash_car_parts,drift,6.0,100,0.0,0.0,0.0,0.0,3.0162937235832215,2.2253064155578612,2.320110024213791,2.2253064155578612,2.320110024213791
monash_car_parts,drift,9.0,100,0.0,0.0,0.0,0.0,4.454079450964928,2.129605724811554,2.2036579203605653,2.129605724811554,2.2036579203605653
monash_car_parts,drift,12.0,100,0.0,0.0,0.0,0.0,5.861324397325515,2.053469763994217,2.1029937374591827,2.053469763994217,2.1029937374591827
monash_car_parts,drift,16.0,100,0.0,0.0,0.0,0.0,7.775906336307526,2.045878702402115,2.0853534936904907,2.045878702402115,2.0853534936904907
