dataset,w_c2,w_t5,ratio_t5_over_c2
monash_m1_monthly,0.29474556,0.3168923,1.0751384
monash_m1_monthly,3806.2222,2250.4697,0.59126073
monash_m1_monthly,5233.778,4972.479,0.95007455
monash_m1_monthly,2.8177083,1.6976373,0.6024887
monash_m1_monthly,4.1666665,4.408663,1.0580791
monash_m1_monthly,47.77778,30.702097,0.642602
monash_m1_monthly,87.44444,124.28488,1.4213011
monash_m1_monthly,304.0,164.06824,0.5396981
monash_m1_monthly,7701.3335,9562.8125,1.2417086
monash_m1_monthly,28.324654,20.797321,0.73424804
monash_m1_quarterly,2.9120293,0.78400004,0.26922807
monash_m1_quarterly,96.125,50.664272,0.5270665
monash_m1_quarterly,225280.0,168562.5,0.7482355
monash_m1_quarterly,40.023438,10.442177,0.26090154
monash_m1_quarterly,1947.0,818.3935,0.42033565
monash_m1_quarterly,78.3125,28.956726,0.36975867
monash_m1_quarterly,112.5,125.816505,1.118369
monash_m1_quarterly,34048.0,35539.312,1.0438004
monash_m1_quarterly,216832.0,155490.47,0.7171011
monash_m1_quarterly,25456.0,14919.217,0.5860786
monash_m1_quarterly,27456.0,20234.805,0.7369903
monash_m1_quarterly,186.125,81.03378,0.43537292
monash_m1_quarterly,684.0,384.31152,0.56185895
monash_m1_quarterly,149.0,78.92618,0.5297059
monash_m1_quarterly,76992.0,18383.27,0.23876856
monash_m1_quarterly,169.875,69.0896,0.40670845
monash_m1_quarterly,92032.0,33772.96,0.36696976
monash_m1_quarterly,1197.1562,390.38596,0.32609442
monash_m1_quarterly,120.875,60.380188,0.49952585
monash_m1_quarterly,8992.0,2814.2854,0.31297657
monash_m1_quarterly,15932.0,4872.2554,0.30581567
monash_m1_quarterly,341.0,364.76694,1.0696977
monash_m1_quarterly,40.59375,14.005683,0.34502068
monash_m1_quarterly,27.625,20.112835,0.72806644
monash_m1_quarterly,14.6875,23.83072,1.6225171
monash_m1_quarterly,11.8125,20.392403,1.726341
monash_m1_quarterly,47.1875,22.132895,0.46904147
monash_m1_quarterly,370.5,189.6345,0.511834
monash_m1_quarterly,1654.0,1238.8372,0.74899465
monash_m1_quarterly,33536.0,31151.742,0.92890453
monash_m1_quarterly,17.0,23.490873,1.381816
monash_m1_quarterly,1.46875,1.2137842,0.8264063
monash_m1_quarterly,24.625,16.694769,0.67796016
monash_m1_quarterly,41.875,34.22634,0.81734544
monash_m1_quarterly,27.59375,25.301224,0.91691864
monash_m1_quarterly,6.625,13.855917,2.0914593
monash_m1_quarterly,19.375,19.988289,1.0316536
monash_m1_quarterly,22.75,33.27442,1.4626119
monash_m1_quarterly,1528.0,1084.4282,0.70970434
monash_m1_quarterly,6720.0,7527.542,1.12017
monash_m1_quarterly,1304.0,1415.141,1.0852308
monash_m1_quarterly,4360.0,3592.942,0.82406926
monash_m1_quarterly,26.8125,24.500025,0.91375387
monash_m1_quarterly,1408.0,1652.4736,1.1736318
monash_m1_quarterly,3.921875,3.750726,0.9563604
monash_m1_quarterly,8.022461,2.6352923,0.32848927
monash_m1_quarterly,365.08594,76.220375,0.20877379
monash_m1_quarterly,24.46875,11.261253,0.46023002
monash_m1_quarterly,914.75,294.6693,0.32213098
monash_m1_quarterly,21.5625,16.1292,0.7480209
monash_m1_quarterly,3032.0,2704.148,0.89186937
monash_m1_quarterly,189.0,108.20932,0.5725361
monash_m1_quarterly,122.4375,48.03186,0.39229697
monash_m1_quarterly,2628.0,816.84717,0.31082463
monash_m1_quarterly,48.0,34.3536,0.7157
monash_m1_quarterly,70.0,74.66121,1.0665888
monash_m1_quarterly,4620.0,2338.7217,0.5062168
monash_m1_quarterly,26.5,40.469627,1.5271558
monash_m1_quarterly,8.25,11.748558,1.4240676
monash_m1_quarterly,48.0,34.125298,0.7109437
monash_m1_quarterly,63.5,62.836678,0.989554
monash_m1_quarterly,19.84375,9.17068,0.4621445
monash_m1_quarterly,13.9375,23.010468,1.6509752
monash_m1_quarterly,692.0,489.9502,0.7080205
monash_m1_quarterly,10.375,11.597463,1.1178278
monash_m1_quarterly,3136.0,2829.191,0.9021655
monash_m1_quarterly,1613.0,520.86694,0.32291812
monash_m1_quarterly,31.625,14.180355,0.44839066
monash_m1_quarterly,11.140625,8.725117,0.7831802
monash_m1_quarterly,15.9375,21.492722,1.348563
monash_m1_quarterly,5.0625,7.8804474,1.5566316
monash_m1_quarterly,26.375,23.383114,0.88656354
monash_m1_quarterly,31.6875,19.711983,0.6220744
monash_m1_quarterly,16.5,10.727294,0.65013903
monash_m1_quarterly,11.5625,7.083802,0.61265314
monash_m1_quarterly,1.0976562,1.0017046,0.91258496
monash_m1_quarterly,15.6875,20.145676,1.2841865
monash_m1_quarterly,261.75,196.65918,0.7513245
monash_m1_quarterly,111.0,73.289215,0.6602632
monash_m1_quarterly,47.5,32.967022,0.69404256
monash_m1_quarterly,15.5,13.56715,0.8753
monash_m1_quarterly,75.4375,59.783325,0.79248816
monash_m1_quarterly,155.0,117.281906,0.7566575
monash_m1_quarterly,4.4375,5.341956,1.2038211
monash_m1_quarterly,8.1875,10.443506,1.2755427
monash_m1_quarterly,146.75,134.87967,0.9191119
monash_m1_quarterly,35.15625,32.71723,0.9306235
monash_m1_quarterly,83.0625,70.37195,0.84721684
