decode_seed,dataset,model,family,severity,MASE,WQL,n_series,ctx_digest
0,monash_m1_quarterly,chronos-t5,spikes_intensity,2.0,1.8766731361165647,0.0915689257732177,100,1954b2fabf53dae1
0,monash_m1_quarterly,chronos-t5,spikes_intensity,4.0,2.273992437914913,0.0888572507299947,100,e72636abf908fce1
0,monash_m1_quarterly,chronos-t5,spikes_intensity,6.0,1.7758797196465526,0.0918849517010602,100,ebbc85309e9537e7
0,monash_m1_quarterly,chronos-t5,spikes_intensity,8.0,2.730212164433532,0.1028249045044053,100,7139b331f5bd0d06
0,monash_m1_quarterly,chronos-t5,spikes_intensity,12.0,2.6867517449271734,0.0834471204046759,100,3698cb560ff22ca5
0,monash_m1_quarterly,chronos-t5,spikes_intensity,16.0,2.206493643153369,0.0972882382489257,100,fcbcb1e2b7db1588
0,monash_m1_quarterly,chronos-t5,spikes_intensity,20.0,2.2288507477548096,0.0945044701041072,100,b764898bacf1b215
0,monash_m1_quarterly,chronos-t5,spikes_intensity,30.0,1.736352154833748,0.111420850652606,100,8a4d883005b73ba1
0,monash_m1_quarterly,chronos-t5,spikes_intensity,40.0,2.2958673262306872,0.1009965820355996,100,012ebb9308b7e72e
0,monash_m1_yearly,chronos-t5,clean,0.0,4.876359659024312,0.0831845042523565,100,0c8de5066b459982
0,monash_m1_yearly,chronos-t5,spikes_intensity,1.0,5.39084696129001,0.0954438109764912,100,02c6a4e5a0882909
0,monash_m1_yearly,chronos-t5,spikes_intensity,2.0,5.22115071329035,0.1368613830964892,100,a948db659565d7c1
0,monash_m1_yearly,chronos-t5,spikes_intensity,4.0,5.69357906980713,0.0930910198556751,100,7151dd71c3f96d97
0,monash_m1_yearly,chronos-t5,spikes_intensity,6.0,6.546641476182047,0.1020725703273481,100,e040fde293022877
0,monash_m1_yearly,chronos-t5,spikes_intensity,8.0,5.896847942682226,0.1559944388203282,100,1cf57bfb2f356e0a
0,monash_m1_yearly,chronos-t5,spikes_intensity,12.0,7.711882339633483,0.0929260487758263,100,2ab3a96c5cdd7073
0,monash_m1_yearly,chronos-t5,spikes_intensity,16.0,6.277874350509849,0.0870744783749317,100,8efe688ea57e13b7
0,monash_m1_yearly,chronos-t5,spikes_intensity,20.0,8.758524978180327,0.1094330878706361,100,5c82c44d7a3e2c02
0,monash_m1_yearly,chronos-t5,spikes_intensity,30.0,6.308192338046205,0.0891457825279082,100,eae783a0394a5d33
0,monash_m1_yearly,chronos-t5,spikes_intensity,40.0,5.295150087102699,0.1982228178225436,100,6e56a86aeacc8b0f
0,monash_m3_monthly,chronos-t5,clean,0.0,0.8309916385062547,0.0931626489282757,100,8396853c2542b64e
0,monash_m3_monthly,chronos-t5,spikes_intensity,1.0,0.906473991680506,0.1039776628036651,100,642561503d3e5a94
0,monash_m3_monthly,chronos-t5,spikes_intensity,2.0,0.9803350847577692,0.108003855512087,100,742a2245d279e1bf
0,monash_m3_monthly,chronos-t5,spikes_intensity,4.0,1.06072917815754,0.1047891186267772,100,a6608189769df94e
0,monash_m3_monthly,chronos-t5,spikes_intensity,6.0,0.9436016209982692,0.0993805438222162,100,fef8ae7eb89e1ddc
0,monash_m3_monthly,chronos-t5,spikes_intensity,8.0,1.1247877460639508,0.1013398818910291,100,305316a00cb0d196
0,monash_m3_monthly,chronos-t5,spikes_intensity,12.0,0.8648986704733533,0.0983435114906946,100,ae8278f12b9592bf
0,monash_m3_monthly,chronos-t5,spikes_intensity,16.0,1.4370345024340694,0.1082992914944764,100,7ba5a499b03f4353
0,monash_m3_monthly,chronos-t5,spikes_intensity,20.0,1.1414999793624152,0.1142080833618236,100,d18cbb31fc952929
0,monash_m3_monthly,chronos-t5,spikes_intensity,30.0,0.8746162900402871,0.0982438018439911,100,7c1d824860e54e58
0,monash_m3_monthly,chronos-t5,spikes_intensity,40.0,0.9096007011706364,0.0987133599660751,100,f23f0a95b57b7346
0,monash_m3_quarterly,chronos-t5,clean,0.0,1.3468232787559626,0.0810438214814683,100,79cf7aa933a9403f
0,monash_m3_quarterly,chronos-t5,spikes_intensity,1.0,1.6095310423552354,0.0957956301068984,100,b845682bfe37f409
0,monash_m3_quarterly,chronos-t5,spikes_intensity,2.0,1.5985599819827618,0.0890470422964417,100,2ad9ae1e0f340f3e
0,monash_m3_quarterly,chronos-t5,spikes_intensity,4.0,1.588648998244314,0.0893125642467655,100,5d519462f9ef08b1
0,monash_m3_quarterly,chronos-t5,spikes_intensity,6.0,1.5932038205845032,0.0983548791907144,100,2798b0a2134cf02a
0,monash_m3_quarterly,chronos-t5,spikes_intensity,8.0,2.1380424526702133,0.1125375970106856,100,53656fe2dd5c3da3
0,monash_m3_quarterly,chronos-t5,spikes_intensity,12.0,1.6561439617434317,0.1023670134182262,100,dd102bdfac622e73
0,monash_m3_quarterly,chronos-t5,spikes_intensity,16.0,2.1198253624304417,0.1271256859003335,100,ac60778a28a8b2c8
0,monash_m3_quarterly,chronos-t5,spikes_intensity,20.0,1.3559508165409404,0.0794573989884793,100,c6c6bf4b84e574fe
0,monash_m3_quarterly,chronos-t5,spikes_intensity,30.0,1.4075978860385745,0.1014913309477735,100,cb5b8a6abca5756d
0,monash_m3_quarterly,chronos-t5,spikes_intensity,40.0,1.3671234876524294,0.0806062811692839,100,82e9984f2af08e18
0,monash_m3_yearly,chronos-t5,clean,0.0,3.66514553814015,0.1651482676327074,100,22af5d0564fd98f0
0,monash_m3_yearly,chronos-t5,spikes_intensity,1.0,3.974264278091285,0.1698186054839392,100,256e481883a154c2
0,monash_m3_yearly,chronos-t5,spikes_intensity,2.0,4.387040649377704,0.176576620695862,100,13cd7f521c1d9b6c
0,monash_m3_yearly,chronos-t5,spikes_intensity,4.0,3.694207244683744,0.1693586477089893,100,ae65df708765fafd
0,monash_m3_yearly,chronos-t5,spikes_intensity,6.0,4.517700472692522,0.2095438885104477,100,d9b5af4c16ec35dd
0,monash_m3_yearly,chronos-t5,spikes_intensity,8.0,4.298064986340094,0.1884051425912743,100,aa442e72de40084f
0,monash_m3_yearly,chronos-t5,spikes_intensity,12.0,4.419622239387277,0.2000052183838801,100,94ec1b257064468d
0,monash_m3_yearly,chronos-t5,spikes_intensity,16.0,5.184205762408107,0.2662278306478227,100,f8603f38cffe54e6
0,monash_m3_yearly,chronos-t5,spikes_intensity,20.0,4.360970630467943,0.2029817882824695,100,528c31ce891ef980
0,monash_m3_yearly,chronos-t5,spikes_intensity,30.0,4.292137764380258,0.1929086787171437,100,fff3f0482e73b248
0,monash_m3_yearly,chronos-t5,spikes_intensity,40.0,3.683414451989753,0.1731797617976612,100,c569b7efc18a076b
0,monash_nn5_weekly,chronos-t5,clean,0.0,0.927747677516852,0.0852485698911454,100,14e0fea8700b49b1
0,monash_nn5_weekly,chronos-t5,spikes_intensity,1.0,0.9152440939308748,0.0849202667675303,100,6c3aec8a4208cb8c
0,monash_nn5_weekly,chronos-t5,spikes_intensity,2.0,0.929482946051404,0.0852576001714225,100,ff9981dc2f7d4ae9
0,monash_nn5_weekly,chronos-t5,spikes_intensity,4.0,0.9349309687809634,0.0861923937142453,100,4243f24b93934cf2
0,monash_nn5_weekly,chronos-t5,spikes_intensity,6.0,0.930497418413311,0.0867653775133163,100,8a0079659b1bf937
0,monash_nn5_weekly,chronos-t5,spikes_intensity,8.0,0.92058495021112,0.0852253056615865,100,ed477e1cc53dc422
0,monash_nn5_weekly,chronos-t5,spikes_intensity,12.0,0.9168708485805964,0.0852278486073928,100,e38c343c156754c7
0,monash_nn5_weekly,chronos-t5,spikes_intensity,16.0,0.9005052240258012,0.0834329115545165,100,788c7872003ced6c
0,monash_nn5_weekly,chronos-t5,spikes_intensity,20.0,0.9170602735983104,0.083983083121458,100,509f6cce82cbbadf
0,monash_nn5_weekly,chronos-t5,spikes_intensity,30.0,0.9272919849469092,0.0852865367336379,100,fedda9a945ed23dc
0,monash_nn5_weekly,chronos-t5,spikes_intensity,40.0,0.9319672640866624,0.0850752152521673,100,09d6665f57d188b5
0,monash_tourism_monthly,chronos-t5,clean,0.0,1.8250258884111448,0.0987436727626961,100,f358903079404a57
0,monash_tourism_monthly,chronos-t5,spikes_intensity,1.0,1.9384587732921936,0.1036376786049317,100,8f47f28edbc64880
0,monash_tourism_monthly,chronos-t5,spikes_intensity,2.0,1.9886469137253668,0.1076219939945766,100,dfca3efa2ae3bec9
0,monash_tourism_monthly,chronos-t5,spikes_intensity,4.0,2.1225133314894964,0.1198611332908405,100,6926b0b9ac0b232f
0,monash_tourism_monthly,chronos-t5,spikes_intensity,6.0,2.105220114147855,0.1152183439292321,100,67e7bd4cf06f0609
0,monash_tourism_monthly,chronos-t5,spikes_intensity,8.0,1.9807493748865144,0.1050398989687898,100,cdeec4cd98461556
0,monash_tourism_monthly,chronos-t5,spikes_intensity,12.0,1.9676036307659088,0.1032116617764033,100,574c74c3b5f6606a
0,monash_tourism_monthly,chronos-t5,spikes_intensity,16.0,1.8492275135212,0.0941815434092806,100,00a09a4cdf15f44d
0,monash_tourism_monthly,chronos-t5,spikes_intensity,20.0,1.836399769880568,0.0941548238467743,100,a0a9341ee14fc5bc
0,monash_tourism_monthly,chronos-t5,spikes_intensity,30.0,1.823400670122448,0.097428877264167,100,0742e9b75a5a8651
